"","P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"2789","La política es tan complicada que no se entiende","Soltero","Masculino",47,"Media","No","9","8","8","NS/NR","Está estancado","Igual","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"17913","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",72,"Media baja","Sí","8","5","6","4","Está progresando","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"7996","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",46,"Media baja","No","6","7","6","NS/NR","Está en retroceso","Un poco peor","Bastante","Muy mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"16116","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",60,"Media","No","5","5","6","1","Está estancado","Igual","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Peru"
"7730","La política es tan complicada que no se entiende","Soltero","Femenino",44,"Media","Sí","4","8","8","1","Está estancado","Mucho peor","Bastante","Regular","Muy injusta","NS/NR","Ecuador"
"21","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",42,"Media baja","No","8","9","8","5","Está progresando","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"2385","La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media","No","2","9","4","5","Está en retroceso","Mucho peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"19316","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",39,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","3","5","Está progresando","Un poco mejor","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"19391","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",74,"Media","No","7","7","6","7","Está progresando","Igual","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"6745","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",68,"Baja","No","6","8","8","4","Está estancado","Igual","Poco","Regular","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Chile"
"1605","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",69,"Media baja","No","7","6","6","5","Está progresando","Mucho peor","Bastante","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Bolivia"
"993","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",30,"Media","Sí","8","8","5","10 Derecha","Está progresando","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"18902","La política no es tan complicada y se entiende","Soltero","Masculino",27,"Baja","Sí","7","3","01 No es democrático","4","Está progresando","Un poco mejor","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"2502","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",33,"Media alta","Sí","8","8","6","1","Está progresando","Igual","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"4301","La política es tan complicada que no se entiende","Soltero","Femenino",20,"Media","No","8","NS/NR","2","NS/NR","Está estancado","Un poco peor","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"16033","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",64,"Media","Sí","5","6","4","5","Está estancado","Un poco peor","Poco","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"3205","La política no es tan complicada y se entiende","Soltero","Masculino",19,"Media","Sí","5","6","5","NS/NR","Está estancado","NS/NR","Poco","Muy buena","Muy injusta","NS/NR","Brazil"
"4447","La política es tan complicada que no se entiende","Soltero","Femenino",31,"Media baja","No","4","5","6","5","Está progresando","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"15251","La política es tan complicada que no se entiende","Soltero","Femenino",33,"Media baja","No","6","8","7","6","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"7537","La política es tan complicada que no se entiende","Soltero","Femenino",18,"Media baja","No","6","6","6","7","Está estancado","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"19841","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",42,"Media","No","5","6","6","9","Está en retroceso","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"16227","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",34,"Media alta","No","9","6","6","00 Izquierda","Está estancado","Igual","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"18221","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",26,"Media baja","Sí","8","9","8","3","Está progresando","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"15880","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",37,"Media","No","5","8","9","2","Está progresando","Un poco mejor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Peru"
"2716","La política no es tan complicada y se entiende","Soltero","Masculino",38,"Media baja","Sí","8","5","8","4","Está progresando","Mucho mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"15848","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",61,"Media","Sí","6","8","7","5","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"15036","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",67,"Media baja","Sí","6","7","3","6","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"18252","La política es tan complicada que no se entiende","Soltero","Femenino",19,"Media","Sí","10 Totalmente democrático","2","6","00 Izquierda","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"6062","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",69,"Baja","No","10 Totalmente democrático","7","8","3","Está en retroceso","Mucho peor","Mucho","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"776","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",56,"Media","No","5","3","NS/NR","5","Está estancado","Igual","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"18200","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",60,"Media baja","No","8","8","8","3","Está estancado","Un poco mejor","Poco","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"1439","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",49,"Media","Sí","4","6","7","4","Está estancado","Un poco peor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"3134","La política no es tan complicada y se entiende","Soltero","Femenino",23,"Media","Sí","7","8","8","6","Está progresando","Igual","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"7138","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",47,"Media baja","No","8","10 Totalmente democrático","7","3","Está progresando","Un poco mejor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"15528","La política no es tan complicada y se entiende","Soltero","Masculino",20,"Media","No","7","9","10 Totalmente democrático","NS/NR","Está progresando","Un poco mejor","Poco","Muy buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"7116","La política es tan complicada que no se entiende","Soltero","Masculino",22,"Media","Sí","4","5","5","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"1461","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",28,"Media","No","4","6","9","00 Izquierda","Está estancado","Un poco mejor","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"6956","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",61,"Media","Sí","8","8","7","5","Está progresando","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"6028","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",43,"Media baja","Sí","9","8","8","5","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"6521","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",44,"Media baja","Sí","5","5","7","NS/NR","NS/NR","Igual","Bastante","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"7835","La política no es tan complicada y se entiende","Soltero","Femenino",18,"Baja","No","8","9","8","NS/NR","Está progresando","Igual","NS/NR","Regular","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"20114","La política es tan complicada que no se entiende","Soltero","Masculino",40,"Baja","No","5","8","5","10 Derecha","Está en retroceso","Un poco peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"16477","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",28,"Baja","Sí","5","10 Totalmente democrático","10 Totalmente democrático","5","Está estancado","Un poco peor","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"2596","La política no es tan complicada y se entiende","Soltero","Masculino",48,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","6","Está progresando","Un poco mejor","Mucho","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"14806","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",46,"Media baja","No","4","6","6","7","Está progresando","Un poco peor","Mucho","Regular","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"8197","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",22,"Media baja","No","8","NS/NR","NS/NR","2","Está progresando","Mucho mejor","Poco","Muy buena","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"19945","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",53,"Media","No","6","9","9","8","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"701","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",60,"Media","Sí","8","6","6","5","Está progresando","Igual","Nada","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"7026","La política no es tan complicada y se entiende","Soltero","Masculino",20,"Media","Sí","4","8","6","10 Derecha","Está estancado","Igual","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"7098","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",25,"Media baja","No","8","8","8","NS/NR","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"14870","La política no es tan complicada y se entiende","Soltero","Femenino",40,"Media baja","No","6","8","8","NS/NR","Está estancado","Un poco peor","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"2724","La política no es tan complicada y se entiende","Soltero","Masculino",17,"Media baja","No","7","9","10 Totalmente democrático","6","Está progresando","Un poco mejor","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"7215","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",25,"Media baja","No","8","10 Totalmente democrático","9","6","Está progresando","Igual","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"19562","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",27,"Media alta","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","1","Está progresando","Igual","NS/NR","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"19404","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",63,"Media","No","9","8","6","NS/NR","Está en retroceso","Mucho mejor","NS/NR","Regular","Injusta","NS/NR","Venezuela"
"3570","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",41,"Baja","No","8","7","NS/NR","NS/NR","Está en retroceso","Un poco peor","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"1707","La política es tan complicada que no se entiende","Soltero","Femenino",26,"Media","Sí","5","5","5","00 Izquierda","Está estancado","Mucho peor","Poco","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Bolivia"
"2474","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",40,"Baja","No","3","5","NS/NR","NS/NR","Está estancado","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"106","La política no es tan complicada y se entiende","NS/NR","Femenino",44,"Media","Sí","6","NS/NR","7","6","Está progresando","Un poco peor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"4068","La política es tan complicada que no se entiende","Soltero","Masculino",26,"Media baja","Sí","6","10 Totalmente democrático","6","10 Derecha","Está estancado","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"711","La política no es tan complicada y se entiende","Soltero","Masculino",36,"Media","Sí","8","8","7","7","Está progresando","Igual","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"19046","La política no es tan complicada y se entiende","Soltero","Femenino",40,"Media baja","No","7","7","5","2","Está en retroceso","Igual","Poco","Mala","NS/NR","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"6216","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",66,"Media","Sí","6","6","6","5","Está estancado","Igual","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"3902","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",36,"Baja","No","9","8","9","8","Está estancado","Un poco peor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"1999","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",22,"Media","No","8","8","9","4","Está estancado","Igual","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"18075","La política no es tan complicada y se entiende","Soltero","Masculino",23,"Media","Sí","8","NS/NR","NS/NR","2","Está progresando","Un poco mejor","Poco","Buena","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"7777","La política no es tan complicada y se entiende","Soltero","Masculino",19,"Media","Sí","9","8","8","NS/NR","Está progresando","Un poco mejor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"16380","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",86,"Media","Sí","6","9","7","5","Está progresando","Un poco peor","Mucho","Muy mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"3733","La política no es tan complicada y se entiende","Soltero","Femenino",31,"Media","Sí","6","5","6","4","Está en retroceso","Un poco peor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"7911","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",54,"Media baja","No","5","7","6","NS/NR","Está en retroceso","Igual","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"7240","La política es tan complicada que no se entiende","Soltero","Femenino",18,"Media","Sí","6","4","7","5","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"4054","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",50,"Baja","No","6","8","6","NS/NR","Está progresando","Un poco mejor","Mucho","Muy mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"4382","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",56,"Media","Sí","6","6","7","5","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"20158","La política es tan complicada que no se entiende","Soltero","Masculino",57,"Alta","No","10 Totalmente democrático","7","9","1","Está estancado","Mucho peor","Mucho","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"19604","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",50,"Baja","No","7","8","8","2","Está progresando","Igual","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"8097","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",46,"Media","No","5","8","4","2","Está estancado","Un poco mejor","Poco","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"19763","La política es tan complicada que no se entiende","Soltero","Masculino",19,"Media","No","5","4","4","5","Está en retroceso","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"14661","La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media baja","No","7","8","8","NS/NR","Está progresando","Igual","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"2206","La política es tan complicada que no se entiende","Soltero","Masculino",72,"Baja","No","10 Totalmente democrático","4","9","2","Está progresando","Un poco mejor","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"14526","La política no es tan complicada y se entiende","Soltero","Masculino",40,"Media baja","No","4","8","6","5","Está estancado","Igual","Mucho","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"4702","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",62,"Baja","No","6","NS/NR","4","NS/NR","Está estancado","NS/NR","NS/NR","Mala","Injusta","NS/NR","Colombia"
"2919","La política es tan complicada que no se entiende","Soltero","Masculino",34,"Media","Sí","3","10 Totalmente democrático","6","5","Está estancado","Un poco mejor","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"4303","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",61,"Baja","Sí","3","3","2","9","Está estancado","Mucho peor","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"19938","La política no es tan complicada y se entiende","Soltero","Femenino",18,"Media","Sí","7","9","8","7","Está estancado","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"4614","La política no es tan complicada y se entiende","Soltero","Masculino",30,"Media baja","Sí","6","8","8","3","Está progresando","Un poco mejor","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"14600","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",43,"Baja","Sí","2","8","8","NS/NR","Está en retroceso","Igual","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"760","La política no es tan complicada y se entiende","Soltero","Femenino",24,"Media","Sí","6","8","8","10 Derecha","Está progresando","Igual","Mucho","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"15481","La política es tan complicada que no se entiende","Soltero","Femenino",30,"Baja","No","5","NS/NR","NS/NR","5","Está estancado","Un poco peor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"2272","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",30,"Media baja","No","6","NS/NR","NS/NR","9","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"18967","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",30,"Media baja","No","9","7","9","5","Está progresando","Un poco mejor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"18430","La política no es tan complicada y se entiende","Soltero","Femenino",22,"Media baja","No","4","3","6","3","Está estancado","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"4283","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",42,"Media alta","No","8","NS/NR","NS/NR","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"16674","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",44,"Media baja","Sí","6","6","6","NS/NR","Está estancado","Igual","Nada","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"2151","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",63,"Media baja","No","9","4","6","00 Izquierda","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"2531","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",49,"Baja","No","8","8","5","NS/NR","Está progresando","Igual","Bastante","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"16543","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",22,"Media","No","7","7","7","9","Está estancado","Igual","Poco","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"16630","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",32,"Media","Sí","8","10 Totalmente democrático","8","5","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"7964","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",59,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","9","Está progresando","Un poco mejor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"6963","La política no es tan complicada y se entiende","Soltero","Masculino",33,"Media","Sí","6","7","8","6","Está progresando","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"19139","La política es tan complicada que no se entiende","Soltero","Femenino",57,"Alta","Sí","10 Totalmente democrático","7","4","NS/NR","Está en retroceso","Un poco mejor","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"4034","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",52,"Media baja","No","4","5","5","5","Está progresando","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"372","La política no es tan complicada y se entiende","Soltero","Femenino",40,"Media alta","Sí","6","7","7","2","Está progresando","Igual","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"4017","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",65,"Baja","No","3","NS/NR","NS/NR","NS/NR","Está estancado","Un poco peor","Mucho","Muy mala","NS/NR","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"7232","La política es tan complicada que no se entiende","Soltero","Femenino",32,"Baja","No","7","9","7","5","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"18378","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",73,"Baja","No","10 Totalmente democrático","NS/NR","NS/NR","7","Está estancado","Mucho peor","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Uruguay"
"18781","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",40,"Media","Sí","NS/NR","NS/NR","NS/NR","6","Está progresando","Mucho mejor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"19874","La política es tan complicada que no se entiende","Soltero","Masculino",66,"Media alta","No","6","7","4","5","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"14854","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",42,"Media alta","No","7","10 Totalmente democrático","9","5","Está estancado","Igual","Mucho","Buena","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"1877","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",55,"Media","No","5","5","5","NS/NR","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"4537","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",45,"Baja","Sí","8","8","8","5","Está progresando","Un poco mejor","Poco","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"6092","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",61,"Media baja","No","6","8","7","4","Está estancado","Igual","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"14715","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",38,"Media baja","Sí","7","7","5","4","Está estancado","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"4073","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",41,"Media","Sí","8","7","7","10 Derecha","Está progresando","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"19613","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",46,"Media baja","Sí","5","8","7","8","Está en retroceso","Mucho peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"16501","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",32,"Media","No","9","8","5","NS/NR","Está estancado","Igual","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Peru"
"19315","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",60,"Media baja","No","8","8","NS/NR","5","Está en retroceso","Un poco peor","Bastante","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"8083","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",43,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","6","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"4397","La política no es tan complicada y se entiende","Soltero","Masculino",22,"Media","No","10 Totalmente democrático","9","4","4","Está progresando","Un poco peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"19310","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",22,"Media","No","10 Totalmente democrático","5","8","2","Está estancado","Un poco mejor","Mucho","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Venezuela"
"2434","La política es tan complicada que no se entiende","Soltero","Femenino",31,"Baja","No","8","8","NS/NR","NS/NR","Está progresando","Un poco mejor","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"7849","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",19,"Media","No","8","7","5","6","Está estancado","Un poco peor","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"18490","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",52,"Media baja","No","8","7","9","5","Está progresando","Igual","NS/NR","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"18863","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",74,"Media baja","No","7","10 Totalmente democrático","5","8","Está en retroceso","Igual","Bastante","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"904","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",55,"Media","No","7","7","7","NS/NR","Está progresando","Un poco mejor","Bastante","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"4093","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",34,"Media baja","Sí","01 No es democrático","10 Totalmente democrático","10 Totalmente democrático","00 Izquierda","Está en retroceso","Mucho mejor","Mucho","Muy mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
