@relation R_data_frame

@attribute S1NICC7 {Bastante,Mucho,NS/NR,'Poco - Nada'}
@attribute S15 {'Casado/ Conviviente',NS/NR,Separado/Divorciado/Viudo,Soltero}
@attribute S16 {Femenino,Masculino}
@attribute S17 numeric
@attribute S14 {Alta,Baja,Media,'Media alta','Media baja',NS/NR}
@attribute S28D {No,NS/NR,Sí}
@attribute P49ST.A {Democrático,'Ni Demo-Ni No Demo','No Democrático',NS/NR}
@attribute P76ST {Centro,Derecha,Izquierda,NS/NR}
@attribute IDENPA {Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Paraguay,Peru,Uruguay,Venezuela}
@attribute P1ST {'Bastante satisfecho','Muy satisfecho','No muy satisfecho',NS/NR,'Para nada satisfecho'}
@attribute P3ST.A {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P3ST.B {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P4ST {Igual,'Mucho mejor','Mucho peor',NS/NR,'Un poco mejor','Un poco peor'}
@attribute P10ST {'Está progresando','No está progresando'}
@attribute P15N {Empeorado,Mejorado,NS/NR,'Se ha mantenido igual'}
@attribute P19ST {'Grupos poderosos en su propio beneficio',NS/NR,'Para el bien de todo el pueblo'}
@attribute P28NE {Empeorará,Mejorará,NS/NR,'Seguirá igual'}
@attribute P65ST {'No tiene los medios',NS/NR,'Tiene los medios'}
@attribute P6ST {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P12ST {Injusta,Justa,'Muy injusta','Muy justa',NS/NR}
@attribute P13ST {'A la gente como uno, nos da lo mismo un régimen democrático','En algunas circunstancias, un gobierno autoritario puede ser','La democracia es preferible a cualquier otra forma de gobier',NS/NR}

@data
Mucho,Soltero,Masculino,21,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'Bastante satisfecho',Buena,Buena,'Un poco mejor','Está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,NS/NR
Mucho,Soltero,Masculino,18,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'No muy satisfecho',Regular,Regular,'Un poco mejor','Está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,NS/NR,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,25,Media,No,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'Bastante satisfecho',Buena,Buena,'Un poco mejor','No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,59,Baja,No,Democrático,Derecha,Paraguay,'Bastante satisfecho',Mala,'Muy mala',Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios','Muy mala','Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,26,Baja,No,Democrático,NS/NR,Paraguay,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Mala,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,24,Media,No,Democrático,Derecha,Paraguay,'No muy satisfecho',Buena,Buena,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,23,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'No muy satisfecho',Regular,Regular,Igual,'Está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Masculino,18,Baja,No,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'No muy satisfecho',Regular,Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,Soltero,Masculino,19,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'No muy satisfecho',Buena,Buena,'Un poco mejor','Está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,NS/NR,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,52,Media,Sí,'Ni Demo-Ni No Demo',Derecha,Paraguay,'No muy satisfecho',Regular,Regular,'Un poco peor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,Soltero,Masculino,28,Media,Sí,Democrático,Derecha,Paraguay,'Bastante satisfecho',Buena,Buena,'Un poco mejor','Está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,76,'Media alta',Sí,Democrático,Derecha,Paraguay,'No muy satisfecho',Buena,Regular,'Un poco mejor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios','Muy buena',Justa,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,40,'Media alta',Sí,Democrático,Derecha,Paraguay,'No muy satisfecho',Mala,Mala,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,'Casado/ Conviviente',Femenino,55,'Media baja',No,Democrático,Centro,Paraguay,'Para nada satisfecho',Regular,Regular,'Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,35,Media,Sí,'Ni Demo-Ni No Demo',Derecha,Paraguay,'No muy satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Femenino,51,Media,No,NS/NR,Centro,Paraguay,'Bastante satisfecho',Mala,Mala,'Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Mala,'Muy justa','La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Masculino,51,Baja,No,Democrático,NS/NR,Paraguay,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual',NS/NR,Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,54,'Media baja',No,'Ni Demo-Ni No Demo',Derecha,Paraguay,'Muy satisfecho',Regular,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,40,Baja,No,'Ni Demo-Ni No Demo',Centro,Paraguay,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,Separado/Divorciado/Viudo,Femenino,61,Baja,No,'No Democrático',Centro,Paraguay,'Muy satisfecho',Regular,Regular,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,Soltero,Masculino,23,Baja,No,'Ni Demo-Ni No Demo',Centro,Paraguay,'Muy satisfecho',Regular,Regular,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,Soltero,Masculino,18,Baja,No,'Ni Demo-Ni No Demo',Centro,Paraguay,'No muy satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,NS/NR,Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,'Casado/ Conviviente',Femenino,73,Alta,Sí,Democrático,Derecha,Paraguay,'Bastante satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,'Muy justa','La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Masculino,51,'Media baja',No,Democrático,Centro,Paraguay,'Bastante satisfecho',Regular,Regular,Igual,'Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,'Casado/ Conviviente',Femenino,54,Media,Sí,'Ni Demo-Ni No Demo',Derecha,Paraguay,'Bastante satisfecho',Buena,Regular,'Un poco mejor','Está progresando',Mejorado,NS/NR,Mejorará,'Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,51,'Media alta',Sí,'Ni Demo-Ni No Demo',Derecha,Paraguay,'Para nada satisfecho',Buena,Mala,'Un poco mejor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,Soltero,Femenino,34,'Media baja',Sí,Democrático,Derecha,Paraguay,'No muy satisfecho',Regular,Buena,'Un poco mejor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
NS/NR,Soltero,Masculino,22,'Media baja',Sí,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'Bastante satisfecho',Buena,Regular,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada','Casado/ Conviviente',Masculino,25,Baja,No,'Ni Demo-Ni No Demo',Centro,Paraguay,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada','Casado/ Conviviente',Femenino,29,Media,Sí,'Ni Demo-Ni No Demo',Centro,Paraguay,'Bastante satisfecho',Buena,Mala,'Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
NS/NR,Separado/Divorciado/Viudo,Femenino,61,Baja,No,'No Democrático',NS/NR,Paraguay,'No muy satisfecho',Mala,Mala,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Empeorará,NS/NR,Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,43,'Media alta',Sí,'Ni Demo-Ni No Demo',Centro,Paraguay,'Bastante satisfecho',Regular,Mala,'Un poco mejor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,'Casado/ Conviviente',Masculino,60,Baja,Sí,'Ni Demo-Ni No Demo',Centro,Paraguay,'Bastante satisfecho',Mala,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,28,Baja,No,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'Muy satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Femenino,19,Baja,No,Democrático,NS/NR,Paraguay,'Muy satisfecho',Regular,Regular,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Masculino,24,Baja,No,'Ni Demo-Ni No Demo',Izquierda,Paraguay,'Muy satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Masculino,39,Baja,No,'Ni Demo-Ni No Demo',Centro,Paraguay,'Bastante satisfecho',Regular,Regular,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,Soltero,Masculino,20,Baja,No,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'Muy satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Masculino,25,'Media baja',Sí,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'Muy satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,NS/NR,Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,40,Baja,No,Democrático,Centro,Paraguay,'Muy satisfecho',Regular,Regular,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Femenino,25,Baja,Sí,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'Muy satisfecho',Buena,Buena,Igual,'Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Separado/Divorciado/Viudo,Masculino,62,Baja,No,'Ni Demo-Ni No Demo',Derecha,Paraguay,'Bastante satisfecho','Muy mala','Muy mala','Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,Separado/Divorciado/Viudo,Femenino,73,Baja,Sí,'Ni Demo-Ni No Demo',Derecha,Paraguay,'Muy satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Femenino,18,Baja,No,'Ni Demo-Ni No Demo',Izquierda,Paraguay,'Muy satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,47,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'Muy satisfecho',Buena,Buena,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,'Casado/ Conviviente',Femenino,58,Baja,Sí,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'Muy satisfecho',Buena,Buena,'Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,Separado/Divorciado/Viudo,Femenino,63,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'Muy satisfecho',Regular,Regular,'Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Femenino,60,Baja,No,'No Democrático',NS/NR,Paraguay,'Muy satisfecho',Mala,Mala,'Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Mala,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,'Casado/ Conviviente',Femenino,58,Baja,No,'No Democrático',NS/NR,Paraguay,'Muy satisfecho',Mala,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,Soltero,Masculino,35,Media,No,'Ni Demo-Ni No Demo',Centro,Paraguay,'Muy satisfecho',Regular,Mala,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,Soltero,Masculino,27,'Media baja',No,'No Democrático',Centro,Paraguay,'Muy satisfecho','Muy mala',Regular,'Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Buena,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,Separado/Divorciado/Viudo,Femenino,48,'Media baja',Sí,'Ni Demo-Ni No Demo',Centro,Paraguay,'Bastante satisfecho',Regular,Mala,'Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Buena,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,'Casado/ Conviviente',Masculino,52,Alta,Sí,Democrático,Derecha,Paraguay,'Muy satisfecho','Muy buena',Buena,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios','Muy buena',Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Separado/Divorciado/Viudo,Femenino,72,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'Bastante satisfecho','Muy mala',Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','No tiene los medios',Buena,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,Soltero,Femenino,62,Baja,No,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'Bastante satisfecho','Muy mala',Mala,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,Soltero,Femenino,47,Media,No,'Ni Demo-Ni No Demo',Derecha,Paraguay,'No muy satisfecho',Regular,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,'Muy justa','En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,'Casado/ Conviviente',Femenino,50,'Media alta',Sí,'Ni Demo-Ni No Demo',Derecha,Paraguay,'Bastante satisfecho','Muy buena',Buena,'Mucho mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual',NS/NR,'Muy buena',Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,40,Media,Sí,'Ni Demo-Ni No Demo',Centro,Paraguay,'Muy satisfecho',Buena,Buena,Igual,'Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',NS/NR,'No tiene los medios','Muy buena',Justa,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,58,Media,Sí,'Ni Demo-Ni No Demo',Derecha,Paraguay,'Bastante satisfecho',Regular,'Muy mala',Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','No tiene los medios','Muy buena',Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,38,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Paraguay,'Bastante satisfecho',Buena,Mala,Igual,'Está progresando',NS/NR,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,41,Media,No,'Ni Demo-Ni No Demo',Centro,Paraguay,'Bastante satisfecho','Muy mala',NS/NR,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio','Seguirá igual','No tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,'Casado/ Conviviente',Masculino,37,Media,Sí,'Ni Demo-Ni No Demo',Izquierda,Paraguay,'Bastante satisfecho',Regular,Regular,'Un poco mejor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Femenino,52,Media,Sí,NS/NR,Centro,Paraguay,'No muy satisfecho',Regular,Mala,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','No tiene los medios',Regular,NS/NR,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Femenino,22,Media,Sí,Democrático,Centro,Paraguay,'Bastante satisfecho',Regular,Mala,'Un poco peor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','No tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada','Casado/ Conviviente',Femenino,33,Media,No,'Ni Demo-Ni No Demo',Centro,Paraguay,'Muy satisfecho',Buena,Regular,'Un poco mejor','Está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,'Casado/ Conviviente',Femenino,30,Media,Sí,'Ni Demo-Ni No Demo',Centro,Paraguay,'Muy satisfecho',Regular,Mala,'Un poco mejor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Femenino,19,'Media alta',Sí,Democrático,Izquierda,Paraguay,'Muy satisfecho',Regular,Mala,Igual,'Está progresando',Mejorado,'Para el bien de todo el pueblo','Seguirá igual','Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Separado/Divorciado/Viudo,Femenino,62,Media,No,'Ni Demo-Ni No Demo',Izquierda,Paraguay,'Muy satisfecho',Regular,Mala,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,53,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Paraguay,'No muy satisfecho',Regular,Regular,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,60,Baja,No,'No Democrático',Centro,Paraguay,'Para nada satisfecho','Muy mala','Muy mala','Mucho peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Empeorará,NS/NR,'Muy mala','Muy injusta',NS/NR
Bastante,Soltero,Femenino,72,Baja,No,'Ni Demo-Ni No Demo',Derecha,Paraguay,'No muy satisfecho',Mala,'Muy mala','Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,28,Media,No,'Ni Demo-Ni No Demo',Derecha,Paraguay,'Bastante satisfecho',Mala,Mala,'Un poco peor','No está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,63,'Media alta',Sí,Democrático,Derecha,Paraguay,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,52,Media,Sí,'Ni Demo-Ni No Demo',Derecha,Paraguay,'Bastante satisfecho',Regular,Mala,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,Soltero,Masculino,22,Media,NS/NR,Democrático,NS/NR,Paraguay,'Muy satisfecho',Regular,Regular,'Un poco peor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Separado/Divorciado/Viudo,Femenino,61,Media,No,'Ni Demo-Ni No Demo',Centro,Paraguay,NS/NR,Regular,Mala,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,32,'Media baja',Sí,Democrático,Derecha,Paraguay,'Bastante satisfecho',Mala,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,44,Media,No,'Ni Demo-Ni No Demo',Centro,Paraguay,'Bastante satisfecho',Regular,Mala,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,60,Media,Sí,Democrático,Derecha,Paraguay,'Bastante satisfecho',Mala,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,Soltero,Masculino,19,Media,Sí,Democrático,NS/NR,Paraguay,'Muy satisfecho',Regular,Regular,'Un poco peor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,39,Media,Sí,'Ni Demo-Ni No Demo',Derecha,Paraguay,'Bastante satisfecho',Mala,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Separado/Divorciado/Viudo,Femenino,63,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Paraguay,'No muy satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
