"P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"La política es tan complicada que no se entiende","Soltero","Femenino",49,"Baja","Sí","10 Totalmente democrático","8","8","NS/NR","Está estancado","Un poco mejor","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",30,"Media baja","No","7","8","9","NS/NR","Está progresando","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",20,"Media baja","Sí","7","4","4","NS/NR","Está estancado","Un poco peor","Poco","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",73,"Media baja","Sí","8","6","5","9","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",41,"Media baja","Sí","7","8","8","7","Está progresando","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",38,"Baja","No","6","8","9","5","Está estancado","Igual","Bastante","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",45,"Media baja","No","NS/NR","NS/NR","NS/NR","NS/NR","Está estancado","Igual","NS/NR","Regular","Injusta","NS/NR","Peru"
"La política no es tan complicada y se entiende","Soltero","Femenino",19,"Media","Sí","7","NS/NR","NS/NR","5","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",55,"Baja","No","8","NS/NR","NS/NR","NS/NR","Está estancado","Un poco peor","Bastante","Muy mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Soltero","Masculino",24,"Media baja","No","6","7","6","NS/NR","Está progresando","Igual","Poco","Buena","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",65,"Media","No","7","7","7","1","NS/NR","Igual","Bastante","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",29,"Baja","No","8","4","8","8","Está progresando","Igual","NS/NR","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",44,"Baja","No","3","6","8","NS/NR","Está estancado","Igual","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",48,"Media","No","8","8","8","2","Está progresando","Un poco mejor","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",24,"Media","Sí","10 Totalmente democrático","01 No es democrático","8","00 Izquierda","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",31,"Baja","No","5","7","6","5","Está estancado","Un poco peor","Mucho","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",51,"Media baja","Sí","10 Totalmente democrático","10 Totalmente democrático","6","00 Izquierda","Está progresando","Un poco mejor","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Soltero","Masculino",42,"Media baja","Sí","8","7","7","6","Está progresando","Igual","Poco","Buena","Justa","NS/NR","Brazil"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",27,"Media alta","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","1","Está progresando","Igual","NS/NR","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",24,"Baja","No","5","6","6","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","NS/NR","Chile"
"La política no es tan complicada y se entiende","Soltero","Femenino",18,"Media","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","NS/NR","Está estancado","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Soltero","Masculino",19,"Media baja","Sí","6","8","6","5","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",60,"Baja","No","2","2","2","6","Está en retroceso","Mucho peor","Mucho","Muy mala","Muy injusta","NS/NR","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",56,"Baja","Sí","8","4","NS/NR","9","Está estancado","Igual","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Soltero","Masculino",22,"Media baja","Sí","5","4","7","3","Está estancado","Un poco peor","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política es tan complicada que no se entiende","Soltero","Femenino",26,"Media","Sí","5","8","9","10 Derecha","Está estancado","Mucho peor","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",38,"Media baja","Sí","5","5","5","5","Está estancado","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",49,"Media baja","Sí","9","9","9","NS/NR","Está en retroceso","Igual","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",29,"Media","No","NS/NR","NS/NR","NS/NR","NS/NR","Está estancado","Un poco mejor","Bastante","Regular","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",28,"Media alta","Sí","6","6","6","4","Está estancado","Un poco mejor","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Soltero","Femenino",22,"Media","Sí","10 Totalmente democrático","7","7","4","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",33,"Media","Sí","5","6","6","4","Está estancado","Un poco peor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Soltero","Femenino",31,"Media","Sí","7","7","7","NS/NR","Está progresando","Igual","Poco","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",50,"NS/NR","Sí","9","2","5","1","Está estancado","Un poco mejor","NS/NR","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",63,"Media","Sí","7","4","7","6","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Soltero","Femenino",66,"Media","No","7","9","8","3","Está estancado","Igual","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",52,"Media baja","Sí","NS/NR","NS/NR","NS/NR","4","Está estancado","Igual","Mucho","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",76,"Baja","No","NS/NR","NS/NR","NS/NR","4","Está en retroceso","Un poco peor","Bastante","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",47,"Media","Sí","4","7","8","5","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Soltero","Femenino",33,"Media baja","Sí","7","NS/NR","NS/NR","NS/NR","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Soltero","Femenino",27,"Media","Sí","5","5","5","4","Está estancado","Igual","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",25,"Media","No","6","9","7","6","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política no es tan complicada y se entiende","Soltero","Femenino",22,"Baja","Sí","5","7","NS/NR","NS/NR","Está estancado","Un poco peor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",46,"Media","Sí","5","6","6","4","Está estancado","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",52,"Baja","No","5","6","6","NS/NR","Está estancado","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",59,"Media baja","Sí","8","2","9","3","Está progresando","Mucho mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Soltero","Masculino",38,"Media baja","No","6","4","6","10 Derecha","Está en retroceso","Mucho peor","Bastante","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Bolivia"
"La política no es tan complicada y se entiende","Soltero","Masculino",23,"Media","Sí","7","NS/NR","NS/NR","5","Está progresando","Igual","Bastante","Muy buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",35,"Media","Sí","5","10 Totalmente democrático","6","1","NS/NR","Un poco mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",51,"Media baja","No","5","7","5","5","Está estancado","Un poco mejor","Mucho","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",33,"Media","No","4","10 Totalmente democrático","6","8","Está estancado","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",67,"Baja","No","5","NS/NR","5","NS/NR","Está progresando","Un poco peor","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",34,"Media","Sí","8","8","8","6","Está progresando","Un poco peor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",34,"Media","No","5","7","5","5","Está estancado","Mucho mejor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",37,"Baja","Sí","3","5","3","4","Está estancado","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Soltero","Femenino",57,"Media baja","Sí","5","5","5","10 Derecha","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Soltero","Femenino",25,"Baja","No","8","7","7","9","Está estancado","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Soltero","Masculino",26,"Baja","Sí","6","8","9","5","Está progresando","Un poco mejor","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"La política no es tan complicada y se entiende","Soltero","Masculino",33,"Media","Sí","6","7","NS/NR","NS/NR","Está estancado","Mucho peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Soltero","Masculino",38,"NS/NR","Sí","4","5","6","6","Está progresando","Un poco mejor","NS/NR","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",67,"Media","Sí","7","NS/NR","7","9","Está progresando","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",55,"Media baja","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","3","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",40,"Media baja","No","4","5","5","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",29,"Media baja","Sí","6","7","7","6","Está estancado","Igual","Poco","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Femenino",35,"Alta","No","9","9","9","8","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Soltero","Masculino",27,"Media baja","No","4","3","3","5","Está estancado","Igual","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",38,"Media","Sí","5","3","7","5","Está estancado","Un poco peor","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política no es tan complicada y se entiende","Soltero","Femenino",27,"Media","Sí","5","5","5","5","Está estancado","Un poco peor","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",35,"Baja","No","8","8","7","NS/NR","Está progresando","Un poco mejor","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Soltero","Masculino",41,"Media","No","9","8","9","2","Está progresando","Mucho mejor","Nada","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Masculino",18,"Media","Sí","4","8","9","NS/NR","Está progresando","Un poco mejor","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",24,"Baja","No","8","7","4","NS/NR","Está estancado","Igual","Poco","Regular","Injusta","NS/NR","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",38,"Media","Sí","6","9","7","5","Está progresando","Un poco mejor","Poco","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",53,"Baja","No","8","9","NS/NR","2","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Soltero","Femenino",53,"Media","Sí","4","10 Totalmente democrático","10 Totalmente democrático","10 Derecha","Está en retroceso","Mucho peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",42,"Baja","No","6","7","10 Totalmente democrático","5","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Soltero","Femenino",22,"Media baja","Sí","9","7","7","4","Está estancado","Un poco mejor","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",30,"Media baja","Sí","8","6","8","2","Está en retroceso","Mucho peor","Mucho","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",60,"NS/NR","No","NS/NR","NS/NR","NS/NR","5","Está progresando","Un poco peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Soltero","Femenino",63,"Media baja","No","5","7","6","3","Está estancado","Un poco peor","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",41,"Media","No","5","5","6","5","Está en retroceso","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",48,"Media baja","Sí","6","NS/NR","NS/NR","3","Está progresando","Un poco mejor","Bastante","Buena","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Soltero","Masculino",24,"Media alta","Sí","7","7","6","6","Está progresando","Mucho mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",53,"Media baja","Sí","6","10 Totalmente democrático","10 Totalmente democrático","8","Está en retroceso","Un poco mejor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Soltero","Masculino",19,"Media baja","No","3","5","5","NS/NR","Está estancado","Un poco mejor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Soltero","Femenino",23,"Media","Sí","8","7","NS/NR","NS/NR","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política es tan complicada que no se entiende","Soltero","Masculino",71,"Baja","No","8","10 Totalmente democrático","8","00 Izquierda","Está en retroceso","Un poco mejor","NS/NR","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",45,"Baja","No","5","5","5","NS/NR","Está progresando","Un poco mejor","Bastante","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",53,"Media","No","7","NS/NR","6","NS/NR","Está en retroceso","Un poco peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Soltero","Femenino",20,"Media baja","NS/NR","4","NS/NR","7","10 Derecha","Está estancado","Un poco peor","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",42,"Media","Sí","3","NS/NR","NS/NR","NS/NR","Está estancado","Igual","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",44,"Media","Sí","4","5","8","7","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",54,"Baja","No","NS/NR","NS/NR","NS/NR","6","Está estancado","Un poco peor","Poco","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",40,"Baja","No","6","3","4","2","Está en retroceso","Un poco peor","Poco","Muy mala","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",74,"Media baja","No","8","10 Totalmente democrático","8","5","Está progresando","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",42,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","00 Izquierda","Está estancado","Igual","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",35,"Baja","No","8","8","8","10 Derecha","Está estancado","Mucho peor","Mucho","Muy mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",61,"Media baja","Sí","10 Totalmente democrático","8","5","3","Está estancado","Mucho peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",43,"Media","Sí","6","7","7","8","Está estancado","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",37,"Media","Sí","7","6","6","3","Está estancado","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Soltero","Femenino",32,"Media","Sí","7","9","8","7","Está progresando","Un poco mejor","Mucho","Buena","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",40,"Media","No","4","7","7","5","Está estancado","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",87,"Media","Sí","7","5","8","3","Está progresando","Igual","Poco","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",41,"Media","Sí","7","7","5","5","Está progresando","Un poco mejor","Poco","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",25,"Media baja","No","6","9","9","6","Está estancado","Igual","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",45,"Media","Sí","7","10 Totalmente democrático","8","NS/NR","Está estancado","Un poco peor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",36,"Media baja","No","9","10 Totalmente democrático","10 Totalmente democrático","00 Izquierda","Está estancado","Mucho peor","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Soltero","Masculino",29,"Media alta","No","5","10 Totalmente democrático","5","NS/NR","Está en retroceso","Igual","Mucho","Buena","NS/NR","A la gente como uno, nos da lo mismo un régimen democrático","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",45,"Media","Sí","5","5","5","5","Está estancado","Igual","Nada","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",25,"Media","Sí","8","5","6","5","Está estancado","Igual","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",70,"Baja","No","6","6","5","10 Derecha","Está progresando","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",42,"Media","Sí","8","8","8","7","Está progresando","Un poco mejor","Nada","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",49,"Media baja","Sí","6","10 Totalmente democrático","8","NS/NR","Está en retroceso","Mucho peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",65,"Baja","No","7","9","7","5","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Soltero","Masculino",19,"Media","Sí","6","6","5","NS/NR","Está en retroceso","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media","Sí","4","5","6","6","Está progresando","Un poco mejor","Bastante","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",46,"Media baja","No","10 Totalmente democrático","8","8","NS/NR","Está progresando","Un poco mejor","Bastante","Regular","NS/NR","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"La política es tan complicada que no se entiende","Soltero","Masculino",32,"Media","No","9","10 Totalmente democrático","10 Totalmente democrático","4","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",37,"Media","Sí","5","6","NS/NR","1","Está estancado","Un poco peor","Poco","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",37,"Baja","No","6","8","NS/NR","2","NS/NR","Igual","Bastante","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",46,"Media baja","No","NS/NR","NS/NR","NS/NR","NS/NR","Está estancado","Un poco mejor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política es tan complicada que no se entiende","Soltero","Masculino",54,"Media","No","8","10 Totalmente democrático","7","8","Está progresando","Un poco mejor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"La política no es tan complicada y se entiende","Soltero","Masculino",32,"Media","No","7","01 No es democrático","01 No es democrático","6","Está progresando","Un poco mejor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Soltero","Femenino",24,"Media","Sí","7","4","5","3","NS/NR","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",54,"Media","Sí","6","6","6","5","Está progresando","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",61,"Baja","Sí","4","6","NS/NR","5","Está estancado","Igual","Bastante","Mala","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",36,"Media baja","Sí","5","NS/NR","NS/NR","4","Está en retroceso","Un poco peor","Bastante","Muy buena","Muy justa","NS/NR","Brazil"
